"Datum";"+A/84121509 [kW]";"Status";
"03.01.2024 23:30:00";0,301;"namìøená data OK";
"03.01.2024 23:45:00";0,217;"namìøená data OK";
"03.01.2024 24:00:00";0,259;"namìøená data OK";
"04.01.2024 00:15:00";0,117;"namìøená data OK";
"04.01.2024 00:30:00";0,201;"namìøená data OK";
"04.01.2024 00:45:00";0,128;"namìøená data OK";
"04.01.2024 01:00:00";0,161;"namìøená data OK";
"04.01.2024 01:15:00";0,113;"namìøená data OK";
"04.01.2024 01:30:00";0,158;"namìøená data OK";
"04.01.2024 01:45:00";0,119;"namìøená data OK";
"04.01.2024 02:00:00";0,155;"namìøená data OK";
"04.01.2024 02:15:00";0,117;"namìøená data OK";
"04.01.2024 02:30:00";0,151;"namìøená data OK";
"04.01.2024 02:45:00";0,122;"namìøená data OK";
"04.01.2024 03:00:00";0,351;"namìøená data OK";
"04.01.2024 03:15:00";0,2;"namìøená data OK";
"04.01.2024 03:30:00";0,146;"namìøená data OK";
"04.01.2024 03:45:00";0,153;"namìøená data OK";
"04.01.2024 04:00:00";0,169;"namìøená data OK";
"04.01.2024 04:15:00";0,138;"namìøená data OK";
"04.01.2024 04:30:00";0,144;"namìøená data OK";
"04.01.2024 04:45:00";0,138;"namìøená data OK";
"04.01.2024 05:00:00";0,136;"namìøená data OK";
"04.01.2024 05:15:00";0,12;"namìøená data OK";
"04.01.2024 05:30:00";0,14;"namìøená data OK";
"04.01.2024 05:45:00";0,443;"namìøená data OK";
"04.01.2024 06:00:00";0,64;"namìøená data OK";
"04.01.2024 06:15:00";0,537;"namìøená data OK";
"04.01.2024 06:30:00";2,29;"namìøená data OK";
"04.01.2024 06:45:00";2,818;"namìøená data OK";
"04.01.2024 07:00:00";2,835;"namìøená data OK";
"04.01.2024 07:15:00";2,844;"namìøená data OK";
"04.01.2024 07:30:00";2,58;"namìøená data OK";
"04.01.2024 07:45:00";2,37;"namìøená data OK";
"04.01.2024 08:00:00";2,193;"namìøená data OK";
"04.01.2024 08:15:00";1,963;"namìøená data OK";
"04.01.2024 08:30:00";1,924;"namìøená data OK";
"04.01.2024 08:45:00";1,962;"namìøená data OK";
"04.01.2024 09:00:00";1,917;"namìøená data OK";
"04.01.2024 09:15:00";1,672;"namìøená data OK";
"04.01.2024 09:30:00";1,632;"namìøená data OK";
"04.01.2024 09:45:00";1,081;"namìøená data OK";
"04.01.2024 10:00:00";0,013;"namìøená data OK";
"04.01.2024 10:15:00";0,012;"namìøená data OK";
"04.01.2024 10:30:00";0,003;"namìøená data OK";
"04.01.2024 10:45:00";0,002;"namìøená data OK";
"04.01.2024 11:00:00";0,004;"namìøená data OK";
"04.01.2024 11:15:00";0,071;"namìøená data OK";
"04.01.2024 11:30:00";0,13;"namìøená data OK";
"04.01.2024 11:45:00";0,177;"namìøená data OK";
"04.01.2024 12:00:00";0,11;"namìøená data OK";
"04.01.2024 12:15:00";1,029;"namìøená data OK";
"04.01.2024 12:30:00";0,936;"namìøená data OK";
"04.01.2024 12:45:00";1,578;"namìøená data OK";
"04.01.2024 13:00:00";1,423;"namìøená data OK";
"04.01.2024 13:15:00";0,883;"namìøená data OK";
"04.01.2024 13:30:00";0,172;"namìøená data OK";
"04.01.2024 13:45:00";0,009;"namìøená data OK";
"04.01.2024 14:00:00";0,047;"namìøená data OK";
"04.01.2024 14:15:00";0,027;"namìøená data OK";
"04.01.2024 14:30:00";0,091;"namìøená data OK";
"04.01.2024 14:45:00";0,19;"namìøená data OK";
"04.01.2024 15:00:00";0,25;"namìøená data OK";
"04.01.2024 15:15:00";0,13;"namìøená data OK";
"04.01.2024 15:30:00";0,224;"namìøená data OK";
"04.01.2024 15:45:00";0,207;"namìøená data OK";
"04.01.2024 16:00:00";1,956;"namìøená data OK";
"04.01.2024 16:15:00";1,966;"namìøená data OK";
"04.01.2024 16:30:00";1,965;"namìøená data OK";
"04.01.2024 16:45:00";2,032;"namìøená data OK";
"04.01.2024 17:00:00";2,115;"namìøená data OK";
"04.01.2024 17:15:00";4,485;"namìøená data OK";
"04.01.2024 17:30:00";3,682;"namìøená data OK";
"04.01.2024 17:45:00";3,642;"namìøená data OK";
"04.01.2024 18:00:00";4,045;"namìøená data OK";
"04.01.2024 18:15:00";5,245;"namìøená data OK";
"04.01.2024 18:30:00";4,757;"namìøená data OK";
"04.01.2024 18:45:00";3,742;"namìøená data OK";
"04.01.2024 19:00:00";3,237;"namìøená data OK";
"04.01.2024 19:15:00";4,082;"namìøená data OK";
"04.01.2024 19:30:00";3,884;"namìøená data OK";
"04.01.2024 19:45:00";4,293;"namìøená data OK";
"04.01.2024 20:00:00";5,543;"namìøená data OK";
"04.01.2024 20:15:00";2,274;"namìøená data OK";
"04.01.2024 20:30:00";0,337;"namìøená data OK";
"04.01.2024 20:45:00";0,262;"namìøená data OK";
"04.01.2024 21:00:00";0,251;"namìøená data OK";
"04.01.2024 21:15:00";0,25;"namìøená data OK";
"04.01.2024 21:30:00";0,258;"namìøená data OK";
"04.01.2024 21:45:00";0,297;"namìøená data OK";
"04.01.2024 22:00:00";0,234;"namìøená data OK";
"04.01.2024 22:15:00";0,246;"namìøená data OK";
"04.01.2024 22:30:00";0,229;"namìøená data OK";
"04.01.2024 22:45:00";0,242;"namìøená data OK";
"04.01.2024 23:00:00";0,219;"namìøená data OK";
"04.01.2024 23:15:00";0,289;"namìøená data OK";
"04.01.2024 23:30:00";0,303;"namìøená data OK";
"04.01.2024 23:45:00";0,266;"namìøená data OK";
"04.01.2024 24:00:00";0,156;"namìøená data OK";
"05.01.2024 00:15:00";0,154;"namìøená data OK";
"05.01.2024 00:30:00";0,123;"namìøená data OK";
"05.01.2024 00:45:00";0,302;"namìøená data OK";
"05.01.2024 01:00:00";0,755;"namìøená data OK";
"05.01.2024 01:15:00";0,322;"namìøená data OK";
"05.01.2024 01:30:00";0,121;"namìøená data OK";
"05.01.2024 01:45:00";0,439;"namìøená data OK";
"05.01.2024 02:00:00";0,129;"namìøená data OK";
"05.01.2024 02:15:00";0,16;"namìøená data OK";
"05.01.2024 02:30:00";0,126;"namìøená data OK";
"05.01.2024 02:45:00";0,162;"namìøená data OK";
"05.01.2024 03:00:00";0,123;"namìøená data OK";
"05.01.2024 03:15:00";0,165;"namìøená data OK";
"05.01.2024 03:30:00";0,119;"namìøená data OK";
"05.01.2024 03:45:00";0,168;"namìøená data OK";
"05.01.2024 04:00:00";0,123;"namìøená data OK";
"05.01.2024 04:15:00";0,166;"namìøená data OK";
"05.01.2024 04:30:00";0,121;"namìøená data OK";
"05.01.2024 04:45:00";0,401;"namìøená data OK";
"05.01.2024 05:00:00";0,343;"namìøená data OK";
"05.01.2024 05:15:00";0,164;"namìøená data OK";
"05.01.2024 05:30:00";0,121;"namìøená data OK";
"05.01.2024 05:45:00";0,169;"namìøená data OK";
"05.01.2024 06:00:00";0,19;"namìøená data OK";
"05.01.2024 06:15:00";0,568;"namìøená data OK";
"05.01.2024 06:30:00";2,118;"namìøená data OK";
"05.01.2024 06:45:00";3,049;"namìøená data OK";
"05.01.2024 07:00:00";3,215;"namìøená data OK";
"05.01.2024 07:15:00";3,149;"namìøená data OK";
"05.01.2024 07:30:00";2,838;"namìøená data OK";
"05.01.2024 07:45:00";2,079;"namìøená data OK";
"05.01.2024 08:00:00";1,952;"namìøená data OK";
"05.01.2024 08:15:00";1,947;"namìøená data OK";
"05.01.2024 08:30:00";1,926;"namìøená data OK";
"05.01.2024 08:45:00";2,319;"namìøená data OK";
"05.01.2024 09:00:00";2,068;"namìøená data OK";
"05.01.2024 09:15:00";1,944;"namìøená data OK";
"05.01.2024 09:30:00";1,182;"namìøená data OK";
"05.01.2024 09:45:00";0,43;"namìøená data OK";
"05.01.2024 10:00:00";0,136;"namìøená data OK";
"05.01.2024 10:15:00";0,011;"namìøená data OK";
"05.01.2024 10:30:00";0,004;"namìøená data OK";
"05.01.2024 10:45:00";0,477;"namìøená data OK";
"05.01.2024 11:00:00";0,213;"namìøená data OK";
